feature SRR28380565 SRR28380566 SRR28380568 SRR28380570 SRR28380572 SRR28380573 SRR28380580 SRR28380582 SRR28380584 SRR28380586 SRR28380588 SRR28380589
ENSG00000010438 0 2 3 1 0 0 0 2 0 1 0 1
ENSG00000010539 1497 1771 1339 1921 935 1045 1115 1366 2214 3170 1514 1042
ENSG00000010610 695 1915 5704 2499 1305 766 1847 2025 1518 946 763 1310
ENSG00000010626 22 66 73 35 34 21 12 27 21 34 24 39
ENSG00000010671 1430 2985 3013 2767 1318 1307 1506 2099 2237 2631 1713 2798
ENSG00000010704 22 25 38 46 24 35 15 33 31 57 51 53
ENSG00000010803 53 135 137 99 44 45 62 104 46 74 48 55
ENSG00000010810 261 1213 1034 899 218 435 601 887 711 844 476 876
ENSG00000010818 1961 2402 2140 5232 3504 4573 2815 1811 3165 5125 2597 2046
ENSG00000010932 0 0 0 0 0 0 0 0 1 0 0 0
ENSG00000011007 482 1144 1140 845 493 685 760 520 443 404 308 255
ENSG00000011009 839 2593 3372 1566 1038 734 515 1953 970 1068 945 1129
ENSG00000011021 86 181 167 159 189 88 125 182 140 80 92 144
ENSG00000011028 3 20 24 19 4 4 0 9 8 7 4 5
ENSG00000011052 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000011083 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000011105 9 29 11 44 11 8 12 21 9 2 14 6
ENSG00000011114 655 971 983 1355 617 900 680 586 684 600 428 518
ENSG00000011132 239 444 795 429 373 189 113 318 292 422 210 238
ENSG00000011143 6 29 47 41 6 18 10 43 16 18 23 18
ENSG00000011198 5988 8713 9265 9918 5123 6103 5951 9648 5567 4406 4738 4724
ENSG00000011201 4 11 3 26 5 1 2 14 19 23 10 23
ENSG00000011243 1263 2756 3745 2804 1049 1384 1069 2283 1134 1153 833 1054
ENSG00000011258 1028 981 822 1487 802 1065 975 855 1009 937 598 518
ENSG00000011260 277 659 479 378 223 245 451 386 223 244 340 147
ENSG00000011275 1029 2263 3277 2273 1142 1552 808 1098 1108 1271 617 982
ENSG00000011295 44 235 206 167 42 75 118 222 121 107 90 85
ENSG00000011304 1570 2627 2817 2256 1137 1106 1073 1272 1083 1132 787 830
ENSG00000011332 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000011347 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000011376 32 64 81 90 33 61 60 62 82 69 34 69
ENSG00000011405 554 459 308 1046 497 869 840 307 874 795 273 463
ENSG00000011422 8382 37330 17254 12895 14231 11879 11799 22601 11785 5120 10539 4712
ENSG00000011426 5 17 14 32 6 5 12 8 10 12 8 1
ENSG00000011451 68 283 351 235 120 159 66 204 180 122 71 266
ENSG00000011454 597 754 1098 1263 536 768 544 768 717 697 436 430
ENSG00000011465 0 2 0 0 2 0 0 0 0 5 0 0
ENSG00000011478 8 60 41 60 28 15 27 56 23 16 11 14
ENSG00000011485 23 167 166 131 37 55 39 118 109 116 77 121
ENSG00000011523 136 288 178 278 166 187 165 220 274 519 213 172
ENSG00000011566 20 40 19 18 20 24 56 31 48 50 16 57
ENSG00000011590 0 12 0 8 2 0 2 0 8 4 1 4
ENSG00000011600 14058 38138 36300 23185 14223 11149 9585 22399 16215 20526 13371 15490
ENSG00000011638 75 97 88 109 55 38 74 123 144 124 63 134
ENSG00000011677 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000012048 300 350 434 753 356 449 356 427 672 752 251 334
ENSG00000012061 373 752 675 429 419 240 277 524 273 234 352 221
ENSG00000012124 10 295 73 200 30 88 47 79 80 187 24 32
ENSG00000012171 51 95 100 98 169 57 59 150 104 84 94 53
ENSG00000012174 12 19 17 35 10 20 18 28 36 43 19 28
ENSG00000012211 142 207 234 211 81 130 63 114 153 149 68 147
ENSG00000012223 103 3094 36886 13755 2119 1472 1422 793 1084 1012 2404 954
ENSG00000012232 3027 5532 8089 8011 4116 5906 1964 3321 2153 2089 2103 3007
ENSG00000012504 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000012660 11810 10065 12305 17008 8039 10467 11058 15285 13909 15934 13324 9077
ENSG00000012779 13264 32828 29302 30928 18877 15550 9328 23850 18055 21489 15776 27969
ENSG00000012817 0 552 637 0 0 0 208 0 0 0 0 0
ENSG00000012822 5865 8613 14367 10084 5807 6234 3774 9260 4617 5228 4552 3851
ENSG00000012963 450 681 873 776 315 408 413 557 397 483 484 296
ENSG00000012983 89 236 183 145 56 73 208 156 108 153 95 116
ENSG00000013016 34 92 62 113 15 41 24 36 50 42 18 19
ENSG00000013275 497 1195 1833 881 548 629 519 1150 523 561 570 393
ENSG00000013288 1505 2779 3318 2687 1448 1607 1191 2003 1952 1478 1018 1792
ENSG00000013293 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000013297 1 3 1 1 2 0 1 0 2 9 4 3
ENSG00000013306 90 1081 1363 291 93 106 138 340 386 162 133 232
ENSG00000013364 7606 18756 19853 15782 12185 7743 5322 14127 9108 11780 10371 10160
ENSG00000013374 3657 3962 4693 4849 3166 2901 7101 5540 9208 9566 5236 5660
ENSG00000013375 75 149 78 143 71 80 90 140 108 134 43 63
ENSG00000013392 6 33 11 24 3 5 10 13 12 19 12 10
ENSG00000013441 8169 13175 8599 14111 10088 9897 9607 13379 8872 8219 6216 4691
ENSG00000013503 55 72 80 67 47 35 20 57 34 45 41 30
ENSG00000013523 23 141 197 128 61 66 88 105 119 89 54 105
ENSG00000013561 125 231 306 233 124 126 148 212 184 217 137 211
ENSG00000013563 574 1294 1483 1011 479 340 485 686 783 563 354 1517
ENSG00000013573 53 52 43 194 4 61 30 145 102 73 13 22
ENSG00000013583 342 323 282 342 220 128 259 487 286 354 306 210
ENSG00000013588 0 0 0 2 0 0 0 1 0 2 0 0
ENSG00000013619 4 14 14 11 4 4 0 10 2 17 6 4
ENSG00000013725 230 1184 1280 625 269 352 394 1153 493 813 723 555
ENSG00000013810 4951 7875 10638 11358 4468 4350 2121 8633 4725 5985 4114 4191
ENSG00000014123 106 158 67 267 39 91 169 92 164 172 55 264
ENSG00000014138 13 41 86 57 37 27 8 91 13 16 26 33
ENSG00000014164 400 947 1226 871 821 573 313 576 817 1232 486 859
ENSG00000014216 2110 4411 5453 4058 3515 1796 1307 2696 2918 3546 2013 3694
ENSG00000014257 753 1365 1301 1363 1612 1599 954 1071 669 411 468 703
ENSG00000014641 170 569 500 442 111 130 236 326 253 230 227 263
ENSG00000014824 382 377 313 558 246 372 457 474 474 516 310 391
ENSG00000014914 4 45 27 98 4 15 75 53 79 24 25 63
ENSG00000014919 301 339 520 485 152 205 181 461 358 599 307 627
ENSG00000015133 315 917 1141 734 487 455 495 690 688 689 342 833
ENSG00000015153 306 322 406 435 299 318 506 354 755 754 216 342
ENSG00000015171 92 342 258 293 80 148 221 215 229 240 115 181
ENSG00000015285 13151 24238 34434 22614 13691 11909 8902 22556 14356 15574 12921 11723
ENSG00000015413 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000015475 3945 10231 10276 7359 3824 3970 3844 5664 4416 4779 4168 2258
ENSG00000015479 15 15 20 18 32 27 54 30 35 17 18 15
ENSG00000015520 2 8 1 0 0 1 3 1 0 0 1 0
ENSG00000015532 83 207 214 166 92 82 49 135 110 157 63 79
ENSG00000015568 15 42 32 44 17 25 36 26 22 18 17 19
ENSG00000015592 0 0 0 0 0 0 0 4 0 0 0 0
ENSG00000015676 387 775 980 708 307 453 409 581 456 513 287 333
ENSG00000016082 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000016391 2 15 15 7 0 3 1 4 1 0 2 7
ENSG00000016402 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000016490 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000016602 0 1 0 0 0 0 0 0 0 0 0 0
ENSG00000016864 286 481 608 502 202 182 162 403 289 362 242 252
ENSG00000017260 570 876 864 1125 467 675 679 660 664 676 418 544
ENSG00000017427 1 0 0 0 0 1 0 1 0 1 0 0
ENSG00000017483 11 87 97 40 16 19 23 66 56 61 27 54
ENSG00000017797 5777 7034 9167 10546 4717 6204 3392 6021 8097 5656 3747 3960
ENSG00000018189 15 175 121 161 25 64 127 141 109 83 78 166
ENSG00000018236 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000018280 13806 52200 58510 42488 30948 26068 9442 48894 16233 16137 13744 23269
ENSG00000018408 2 1 1 4 1 2 1 0 3 3 2 3
ENSG00000018510 202 362 433 431 121 204 315 206 262 285 153 301
ENSG00000018607 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000018610 165 322 344 195 116 152 369 293 204 140 159 84
ENSG00000018625 0 0 0 3 0 0 0 0 0 0 0 0
